Company,Date Announced,Interim (DPS): N,Final dividend (DPS): N,Total dividend: N,Bonus,Outstanding shares,Dividend payment,Closure Date,AGM Date,Payment Date,Qualification date
SOVEREIGN TRUST INSURANCE PLC,,,0.03,0.03,NA,"14,228,139,483","426,844,184.49",11th of September 2024,26th September 2024,26th September 2024,
FLOUR MILLS NIG. PLC.,,,1.8,1.8,NA,"4,100,379,605","7,380,683,289.00",16th August 2024,4th September 2024,5th September 2024,
PRESTIGE ASSURANCE PLC,,,0.02,0.02,NA,"13,252,561,890","265,051,237.80",31st July 2024,8th August 2024,9th August 2024,
AIICO INSURANCE PLC.,31st May 2024,,0.05,0.05,NA,"36,605,276,012","1,830,263,800.60",22nd July 2024,26th July 2024,26th July 2024,19th July 2024
SUNU ASSURANCES NIGERIA PLC.,,,0.05,0.05,NA,"5,810,800,000","290,540,000.00",15th July 2024,TBA,TBA,
AXAMANSARD INSURANCE PLC,31st May 2024,,0.34,,NA,"9,000,000,000",,16th July 2024,29th July 2024,29th July 2024,15th July 2024
NEM INSURANCE PLC,2nd June 2024,,0.6,0.6,NA,"5,016,477,767","3,009,886,660.20",21st June 2024,2nd July 2024,2nd July 2024,20th June 2024
CONSOLIDATED HALLMARK HOLDINGS PLC,3rd June 2024,,0.05,0.05,NA,"10,840,000,000","542,000,000.00",17th June 2024,26th June 2024,26th June 2024,14th June 2024
CUSTODIAN INVESTMENT PLC,31st May 2024,,0.65,0.65,NA,"5,881,864,195","3,823,211,726.75",13th June 2024,21st June 2024,21st June 2024,12th June 2024
FBN HOLDINGS PLC,24th May 2024,,0.4,0.4,NA,"35,895,292,792","14,358,117,116.80",15th August 2024,22nd August 2024,23rd August 2024,13th August 2024
JAIZ BANK PLC,20th May 2024,,0.04,0.04,NA,"34,541,172,377.00","1,381,646,895.08",2nd July 2024,TBA,TBA,1st July 2024
UPDC REAL ESTATE INVESTMENT TRUST,15th May 2024,0.19,0.22,0.41,NA,"2,668,269,500","1,093,990,495.00",17th May 2024,N/A,24th May 2024,16th May 2024
CHEMICAL AND ALLIED PRODUCTS PLC,March 28th 2024,,1.55,1.55,NA,"814,747,500","1,262,858,625.00",3rd June 2024,24th June 2024,25th June 2024,31st May 2024
SMART PRODUCTS NIGERIA PLC,24th May 2024,,0.08,0.08,NA,"45,000,000.00","3,600,000.00",To be Advised,18th July 2024,To be Advised,21st June 2024
AIRTEL AFRICA PLC,,0.02,0.04,0.06,NA,"3,758,151,504.00","225,489,090.24",24th June 2024,TBA,26th July 2024,
ABC TRANSPORT PLC,7th May 2024,,0.025,0.025,NA,"2,392,621,775","59,815,544.38",27th May 2024,TBA,TBA,24th May 2024
IKEJA HOTEL PLC,3rd May 2024,,0.075,0.075,NA,"2,771,728,532","207,879,639.90",8th July 2024,30th July 2024,6th August 2024,5th July 2024
SEPLAT ENERGY PLC (Interim),29th April 2024,,3 US Cents/ $0.03,$0.03,NA,"588,444,561","17,653,336.83",3rd June 2024,NA,14th June 2024,31st May 2024
PRESCO PLC,6th April 2024,2,24.3,26.3,NA,"1,000,000,000","26,300,000,000.00",15th May 2024,29th May 2024,30th May 2024,14th May 2024
FCMB GROUP PLC.,22nd May 2024,,0.5,0.5,NA,"19,802,710,754","9,901,355,377.00",14th May 2024,24th May 2024,24th May 2024,13th May 2024
ABBEY MORTGAGE BANK PLC,,,0.04,0.04,NA,"10,153,846,154","406,153,846.16",13th May 2024,30th May 2024,31st May 2024, 
CHAMPION BREW. PLC,26th April 2024,,,,1 for 7,"7,829,496,464",,13th May 2024,21st May 2024,NA,
